provider_id,hospital_name,state_x,BPCI Initiative: Model 1,BPCI Initiative: Model 2,BPCI Initiative: Model 3,BPCI Initiative: Model 4,Community-based Care Transitions Program,Frontier Community Health Integration Project Demonstration,Graduate Nurse Education Demonstration,Medicaid Emergency Psychiatric Demonstration,Next Generation ACO Model,Pioneer ACO Model
10033,university of alabama hospital,AL,0,1,0,0,0,0,0,0,0,0
30089,banner thunderbird medical center,AZ,0,1,0,0,0,0,0,0,0,0
30115,banner estrella medical center,AZ,0,1,0,0,0,0,0,0,0,0
40004,washington regional medical center,AR,0,1,0,0,0,0,0,0,0,0
40055,sparks regional medical center,AR,0,1,0,0,0,0,0,0,0,0
50022,riverside community hospital,CA,0,1,0,0,0,0,0,0,0,0
50089,community hospital of san bernardino,CA,0,1,0,0,0,0,0,0,0,0
50104,saint francis medical center,CA,0,1,0,0,0,0,0,0,0,0
50107,marian regional medical center,CA,0,1,0,0,0,0,0,0,0,0
50116,northridge hospital medical center,CA,0,1,0,0,0,0,0,0,0,0
50131,novato community hospital,CA,0,1,0,0,0,0,0,0,0,0
50150,sierra nevada memorial hospital,CA,0,1,0,0,0,0,0,0,0,0
50152,saint francis memorial hospital,CA,0,1,0,0,0,0,0,0,0,0
50232,french hospital medical center,CA,0,1,0,0,0,0,0,0,0,0
50254,marshall medical center,CA,0,1,0,0,0,0,0,0,0,0
50257,good samaritan hospital,CA,0,1,0,0,0,0,0,0,0,0
50308,el camino hospital,CA,0,1,0,0,0,0,0,0,0,0
50320,highland hospital,CA,0,1,0,0,0,0,0,0,0,0
50351,torrance memorial medical center,CA,0,1,0,0,0,0,0,0,0,0
50414,mercy hospital of folsom,CA,0,1,0,0,0,0,0,0,0,0
50481,west hills hospital & medical center,CA,0,1,0,0,0,0,0,0,0,0
50485,long beach memorial medical center,CA,0,1,0,0,0,0,0,0,0,0
50516,mercy san juan medical center,CA,0,1,0,0,0,0,0,0,0,0
50590,methodist hospital of sacramento,CA,0,1,0,0,0,0,0,0,0,0
50603,saddleback memorial medical center,CA,0,1,0,0,0,0,0,0,0,0
50678,orange coast memorial medical center,CA,0,1,0,0,0,0,0,0,0,0
70006,stamford hospital,CT,0,1,0,0,0,0,0,0,0,0
70010,bridgeport hospital,CT,0,1,0,0,0,0,0,0,0,0
70022,yale-new haven hospital,CT,0,1,0,0,0,0,0,0,0,0
70033,danbury hospital,CT,0,1,0,0,0,0,0,0,0,0
70034,norwalk hospital association,CT,0,1,0,0,0,0,0,0,0,0
70039,masonicare health center,CT,0,0,1,0,0,0,0,0,0,0
100007,florida hospital,FL,0,0,0,1,0,0,0,0,0,0
100073,holy cross hospital,FL,0,1,0,0,0,0,0,0,0,0
100080,jfk medical center,FL,0,1,0,0,0,0,0,0,0,0
100131,aventura hospital and medical center,FL,0,1,0,0,0,0,0,0,0,0
100179,memorial hospital jacksonville,FL,0,1,0,0,0,0,0,0,0,0
100228,westside regional medical center,FL,0,1,0,0,0,0,0,0,0,0
100253,jupiter medical center,FL,0,1,0,0,0,0,0,0,0,0
100275,wellington regional medical center,FL,0,1,0,0,0,0,0,0,0,0
100316,palm bay hospital,FL,0,1,0,0,0,0,0,0,0,0
130013,saint alphonsus medical center - nampa,ID,0,1,0,0,0,0,0,0,0,0
